segment,segment_value,MAE,RMSE,MAPE,sMAPE,n,fold,model
hour,17,0.007963838160854993,0.01707442606639353,1.5425973155331614,1.5455368014143465,1500,1,random_forest
hour,18,0.007494883883069833,0.015416980620073325,1.5269707455052746,1.52148686601668,1500,1,random_forest
hour,19,0.009646774870684204,0.023107276450822084,1.9655890182299143,1.9557729578636547,1500,1,random_forest
hour,20,0.007536487981925425,0.015802128286089272,1.448906243497574,1.4355266438291232,1500,1,random_forest
hour,21,0.006201553204767245,0.011894701907149365,1.2854083722427392,1.268403954457431,1385,1,random_forest
hour,22,0.006086715740019887,0.01167033114040823,1.1997270518961327,1.1915710940278343,1438,1,random_forest
hour,23,0.006035380746075438,0.012289705538763594,1.4766543153139793,1.4466547857104177,1440,1,random_forest
day_of_week,0,0.0070565699029553905,0.01612063322769028,1.6105328302633888,1.5806162023343375,5744,1,random_forest
day_of_week,1,0.008747126485851806,0.018049699832320517,2.2558138566447656,2.2557303325548896,5582,1,random_forest
day_of_week,2,0.00579913535107929,0.011532190310347598,1.4852951172272164,1.454293249582196,4320,1,random_forest
day_of_week,3,0.005108353920258334,0.011780319690832217,1.252877097599585,1.2394940342863263,4438,1,random_forest
day_of_week,4,0.0073209809939866035,0.017358504223207942,1.2234440218810325,1.211616444514908,5760,1,random_forest
day_of_week,5,0.00577090392874632,0.014207049628872351,1.162644270028035,1.146837609302775,5583,1,random_forest
day_of_week,6,0.006563667550966834,0.01566652907734527,1.3511577745574657,1.333996093107888,4320,1,random_forest
month,7,0.004123682152996527,0.008936371957852487,1.1387492923425804,1.128315946737953,2998,1,random_forest
month,8,0.006945634641253664,0.015809263142509425,1.5200680547082044,1.502819767074921,32749,1,random_forest
hour,0,0.04716785714285714,0.13882888576881083,9.496145940319947,8.55959388343108,1680,2,baseline_lag1
hour,1,0.040501190476190475,0.11082080129650751,9.728588014327304,8.601584003746018,1680,2,baseline_lag1
hour,2,0.03757738095238095,0.11599483773406634,8.510032031716024,7.688321467458674,1680,2,baseline_lag1
